speciesID,group,family,genus,species,scientificName,commonName,decimalLatitude,decimalLongitude,date,status,recordType,freshMarineIntro,waterbody
441,Fishes,Cichlidae,Cichlasoma,bimaculatum,Cichlasoma bimaculatum,Black Acara,27.7319,-82.64908,2000-03-01,,Literature,,MTB
227,Plants,Amaranthaceae,Alternanthera,philoxeroides,Alternanthera philoxeroides,alligatorweed,27.73678,-82.6534,2015-05-27,established,Literature,Freshwater,MTB
1099,Plants,Araceae,Pistia,stratiotes,Pistia stratiotes,water lettuce,27.73678,-82.6534,2014-06-25,established,Literature,Freshwater,MTB
2633,Mollusks,Ampullariidae,Pomacea,maculata,Pomacea maculata,giant applesnail,27.73678,-82.6534,2016-06-01,established,Literature,Freshwater,MTB
1099,Plants,Araceae,Pistia,stratiotes,Pistia stratiotes,water lettuce,27.73678,-82.6534,2004-05-24,established,Literature,Freshwater,MTB
297,Plants,Salviniaceae,Salvinia,minima,Salvinia minima,water spangles,27.73678,-82.6534,2015-05-27,established,Literature,Freshwater,MTB
227,Plants,Amaranthaceae,Alternanthera,philoxeroides,Alternanthera philoxeroides,alligatorweed,27.73678,-82.6534,2008-10-09,established,Literature,Freshwater,MTB
1099,Plants,Araceae,Pistia,stratiotes,Pistia stratiotes,water lettuce,27.73678,-82.6534,2015-05-27,established,Literature,Freshwater,MTB
1099,Plants,Araceae,Pistia,stratiotes,Pistia stratiotes,water lettuce,27.73678,-82.6534,2012-07-31,established,Literature,Freshwater,MTB
297,Plants,Salviniaceae,Salvinia,minima,Salvinia minima,water spangles,27.73678,-82.6534,2002-05-13,established,Literature,Freshwater,MTB
1099,Plants,Araceae,Pistia,stratiotes,Pistia stratiotes,water lettuce,27.73678,-82.6534,2011-11-03,established,Literature,Freshwater,MTB
297,Plants,Salviniaceae,Salvinia,minima,Salvinia minima,water spangles,27.73678,-82.6534,2011-11-03,established,Literature,Freshwater,MTB
1130,Plants,Pontederiaceae,Eichhornia,crassipes,Eichhornia crassipes,common water-hyacinth,27.73678,-82.6534,2007-11-14,established,Literature,Freshwater,MTB
297,Plants,Salviniaceae,Salvinia,minima,Salvinia minima,water spangles,27.73678,-82.6534,2009-10-13,established,Literature,Freshwater,MTB
